Episode: 1
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
8;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
9;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
10;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
11;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
12;[-1.751, -0.734];[-0.029, -0.019];1;74.400;1.966;16.090;8;10;1
13;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
14;[-1.763, -0.990];[-0.032, -0.020];0;20.000;2.208;2.458;9;9;1
15;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
16;[1.354, 1.538];[0.011, 0.028];0;100.000;3.359;8.000;3;6;1
17;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
18;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
19;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
20;[1.540];[0.063];0;20.000;8.200;30.000;1;1;1
21;[-2.545, 0.780];[0.086, 0.208];0;0.000;1.017;0.059;28;28;1
22;[-1.751, 0.543];[-0.002, 0.188];1;80.114;1.000;0.000;78;1008;1
23;[0.546, 1.374];[0.017, 0.187];1;84.939;1.000;4.000;43;272;1
24;[1.546];[0.110];0;0.000;8.200;50.000;1;1;1
25;[1.544];[0.063];0;20.000;8.200;30.000;1;1;1
.
Episode: 18
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.418;1.000;1.918;36;772;1
2;[0.546, 1.374];[0.017, 0.187];1;68.930;1.000;25.398;43;281;1
3;[0.532, 1.292];[-0.003, 0.085];0;86.954;0.380;27.640;62;246;1
4;[-0.989, -0.265];[-0.184, -0.014];0;78.653;1.000;8.522;24;244;1
5;[-1.556, 0.015];[-0.013, -0.003];1;99.987;1.000;0.032;9;54;1
6;[0.710, 1.497];[-0.003, 0.023];0;99.636;0.993;2.078;10;45;1
7;[-2.545, 1.546];[0.086, 0.208];0;0.000;1.014;0.047;29;29;1
8;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
9;[-1.569, -0.995];[-0.121, -0.040];0;92.385;1.130;10.542;4;19;1
10;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
11;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
12;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
13;[-1.751, -0.734];[-0.029, -0.019];1;79.520;1.773;17.992;8;11;1
14;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
15;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
16;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
17;[1.354, 1.538];[0.011, 0.028];0;100.000;3.359;8.000;3;6;1
18;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
19;[1.540, 1.544];[0.063, 0.063];0;20.000;6.760;15.000;2;2;1
20;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
21;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
22;[-1.763, -0.990];[-0.033, -0.020];0;20.000;1.966;1.966;10;10;1
23;[-1.753, 0.543];[-0.002, 0.188];1;80.462;1.000;0.231;79;1040;1
24;[-0.399];[0.200];1;80.000;8.200;30.000;1;1;1
25;[-0.207];[0.208];1;80.000;8.200;30.000;1;1;1
.
Episode: 19
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;90.839;1.000;8.872;81;1108;1
2;[-0.256, 1.519];[-0.189, -0.003];0;99.438;1.000;2.254;36;833;1
3;[-0.989, -0.265];[-0.184, -0.014];0;94.614;1.000;9.384;24;263;1
4;[0.532, 1.292];[-0.003, 0.085];0;79.635;0.510;36.283;62;253;1
5;[-1.556, 0.015];[-0.017, -0.003];1;99.996;1.000;0.002;10;60;1
6;[0.710, 1.497];[-0.003, 0.023];0;99.851;0.997;1.000;10;49;1
7;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
8;[-1.569, -0.995];[-0.121, -0.040];0;92.385;1.130;10.542;4;19;1
9;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
10;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
11;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
12;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
13;[-1.751, -0.734];[-0.029, -0.019];1;79.520;1.773;17.992;8;11;1
14;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
15;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.966;3.277;4;10;1
17;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
18;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
19;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
20;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
21;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
22;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
23;[0.546, 1.515];[0.017, 0.193];1;94.866;1.000;7.127;45;311;1
.
Episode: 20
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;97.688;1.000;6.088;81;1187;1
2;[-0.256, 1.519];[-0.189, -0.003];0;85.561;1.000;8.481;36;888;1
3;[0.546, 1.515];[0.017, 0.193];1;79.768;1.000;26.328;45;321;1
4;[-0.989, -0.265];[-0.184, -0.014];0;91.706;1.000;10.603;24;296;1
5;[0.532, 1.292];[-0.003, 0.085];0;81.838;0.640;33.670;62;261;1
6;[0.710, 1.497];[-0.003, 0.023];0;99.939;0.999;0.471;10;53;1
7;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
8;[-1.569, -0.995];[-0.121, -0.040];0;93.306;1.043;10.376;4;24;1
9;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
10;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
11;[-1.751, -0.734];[-0.029, -0.019];1;88.349;1.396;3.864;9;14;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.966;3.277;4;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-1.556, 0.015];[-0.017, -0.003];1;99.999;1.000;0.000;11;66;1
.
Episode: 21
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;88.736;1.000;10.229;81;1275;1
2;[-0.256, 1.519];[-0.189, -0.003];0;98.980;1.000;3.694;36;945;1
3;[0.546, 1.515];[0.017, 0.193];1;87.051;1.000;23.324;45;323;1
4;[-0.989, -0.265];[-0.184, -0.014];0;99.239;1.000;2.934;24;326;1
5;[0.532, 1.292];[-0.003, 0.085];0;72.530;0.749;35.377;62;272;1
6;[-1.556, 0.015];[-0.018, -0.003];1;100.000;1.000;0.000;12;76;1
7;[0.710, 1.497];[-0.003, 0.023];0;99.980;1.000;0.179;10;58;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
10;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
11;[-1.751, -0.734];[-0.029, -0.019];1;74.679;1.317;16.761;9;15;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.966;3.277;4;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-1.569, -0.995];[-0.121, -0.039];0;94.645;1.034;0.103;5;25;1
.
Episode: 22
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;80.109;1.000;0.607;81;1348;1
2;[-0.256, 1.519];[-0.189, -0.003];0;82.413;1.000;4.840;36;1007;1
3;[0.546, 1.515];[0.017, 0.193];1;74.184;1.000;27.638;45;343;1
4;[-0.989, -0.265];[-0.184, -0.014];0;83.173;1.000;7.491;24;351;1
5;[0.532, 1.292];[-0.003, 0.085];0;72.119;0.606;37.746;62;281;1
6;[-1.556, 0.015];[-0.018, -0.003];1;94.757;1.000;11.797;12;82;1
7;[0.710, 1.497];[-0.003, 0.023];0;93.440;0.772;13.171;10;63;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
10;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
11;[-1.751, -0.734];[-0.029, -0.019];1;83.795;1.203;18.830;9;17;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-1.569, -0.995];[-0.121, -0.039];0;93.373;1.022;4.066;5;27;1
.
Episode: 23
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;90.486;1.000;9.785;81;1417;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.277;1.000;1.268;36;1068;1
3;[-0.989, -0.265];[-0.184, -0.014];0;90.874;1.000;11.144;24;378;1
4;[0.546, 1.515];[0.017, 0.193];1;94.261;1.000;11.063;45;366;1
5;[0.532, 1.292];[-0.003, 0.085];0;88.066;0.167;27.999;62;290;1
6;[-1.556, 0.015];[-0.018, -0.003];1;93.383;1.000;16.263;12;88;1
7;[0.710, 1.497];[-0.003, 0.023];0;98.899;0.957;4.411;10;71;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.569, -0.995];[-0.121, -0.039];0;94.477;1.017;0.053;6;28;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-1.751, -0.734];[-0.029, -0.019];1;89.629;1.130;17.237;9;19;1
12;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
13;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
14;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
17;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
18;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
19;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
20;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
21;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
25;[0.567];[-0.003];0;100.000;8.200;50.000;1;1;1
.
Episode: 24
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;80.786;1.000;2.893;81;1490;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.127;1.000;0.739;36;1128;1
3;[-0.989, -0.265];[-0.184, -0.014];0;87.736;1.000;10.668;24;408;1
4;[0.546, 1.515];[0.017, 0.193];1;96.820;1.000;5.786;45;385;1
5;[0.532, 1.292];[-0.003, 0.085];0;92.165;0.319;18.676;62;300;1
6;[-1.556, 0.015];[-0.018, -0.003];1;97.290;1.000;9.372;12;92;1
7;[0.567, 1.497];[-0.003, 0.023];0;93.339;0.698;13.295;11;82;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.751, -0.734];[-0.030, -0.019];1;94.026;1.066;1.685;10;22;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
24;[-1.569, -0.995];[-0.121, -0.037];0;95.266;1.014;0.043;7;29;1
.
Episode: 25
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;98.876;1.000;4.045;81;1571;1
2;[-0.256, 1.519];[-0.189, -0.003];0;79.593;1.000;21.999;36;1193;1
3;[-0.989, -0.265];[-0.184, -0.014];0;86.404;1.000;24.140;24;427;1
4;[0.546, 1.515];[0.017, 0.193];1;92.613;1.000;15.457;45;391;1
5;[0.532, 1.292];[-0.003, 0.085];0;92.310;0.250;20.995;62;315;1
6;[-1.556, 0.015];[-0.018, -0.003];1;74.247;1.000;30.943;12;104;1
7;[0.567, 1.497];[-0.003, 0.023];0;96.278;0.785;10.965;11;95;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.751, -0.734];[-0.030, -0.019];1;79.221;1.053;16.153;10;23;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
24;[-1.569, -0.995];[-0.121, -0.037];0;95.266;1.014;0.043;7;29;1
.
Episode: 26
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.753, 0.543];[-0.002, 0.208];1;81.748;1.000;4.525;81;1644;1
2;[-0.256, 1.519];[-0.189, -0.003];0;87.749;1.000;10.056;36;1258;1
3;[-0.989, -0.265];[-0.184, -0.014];0;96.236;1.000;10.289;24;449;1
4;[0.546, 1.515];[0.017, 0.193];1;93.998;1.000;10.010;45;411;1
5;[0.532, 1.292];[-0.003, 0.085];0;74.980;0.364;31.881;62;325;1
6;[-1.556, 0.015];[-0.018, -0.003];1;94.599;1.000;15.940;12;111;1
7;[0.567, 1.497];[-0.003, 0.023];0;99.376;0.953;3.088;11;103;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.751, -0.734];[-0.030, -0.019];1;83.377;1.043;17.078;10;24;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[-1.763, -0.990];[-0.033, -0.014];0;20.000;1.618;1.258;12;12;1
13;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
22;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
23;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
24;[-1.569, -0.995];[-0.121, -0.037];0;95.266;1.014;0.043;7;29;1
.
Episode: 27
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.918;1.000;3.104;36;1313;1
2;[-0.989, -0.265];[-0.184, -0.014];0;78.983;1.000;10.579;24;479;1
3;[0.546, 1.515];[0.017, 0.193];1;77.419;1.000;23.895;45;427;1
4;[0.532, 1.292];[-0.003, 0.085];0;88.199;0.158;26.352;62;332;1
5;[-1.556, 0.015];[-0.018, -0.003];1;84.435;1.000;24.853;12;114;1
6;[0.567, 1.497];[-0.003, 0.023];0;99.836;0.988;1.055;11;109;1
7;[-1.569, -0.995];[-0.121, -0.037];0;93.770;1.009;4.027;7;31;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.751, -0.734];[-0.030, -0.019];1;91.489;1.022;15.127;10;27;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
13;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
14;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
15;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
16;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
17;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
18;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
19;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
20;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
21;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
22;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
23;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
24;[-1.757, 0.543];[-0.002, 0.208];1;80.233;1.000;0.233;82;1717;1
.
Episode: 28
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;98.000;1.000;5.443;36;1377;1
2;[-0.989, -0.265];[-0.184, -0.014];0;96.647;1.000;7.213;24;501;1
3;[0.546, 1.515];[0.017, 0.193];1;81.281;1.000;28.183;45;433;1
4;[0.532, 1.292];[-0.003, 0.085];0;65.401;0.290;39.887;62;346;1
5;[-1.556, 0.015];[-0.018, -0.003];1;95.308;1.000;14.371;12;125;1
6;[0.567, 1.497];[-0.003, 0.023];0;77.432;0.868;25.946;11;120;1
7;[-1.569, -0.995];[-0.121, -0.037];0;93.770;1.009;4.027;7;31;1
8;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
9;[-1.751, -0.734];[-0.030, -0.019];1;93.191;1.017;13.804;10;28;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
13;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
14;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
15;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
16;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
17;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
18;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
19;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
20;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
21;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
22;[-0.990];[-0.032];1;20.000;8.200;30.000;1;1;1
23;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
24;[-1.757, 0.543];[-0.002, 0.208];1;90.199;1.000;18.309;82;1799;1
.
Episode: 29
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;98.742;1.000;4.281;82;1881;1
2;[-0.256, 1.519];[-0.189, -0.003];0;84.419;1.000;8.385;36;1430;1
3;[-0.989, -0.265];[-0.184, -0.014];0;93.438;1.000;10.091;24;537;1
4;[0.546, 1.515];[0.017, 0.193];1;80.439;1.000;25.020;45;442;1
5;[0.532, 1.292];[-0.003, 0.085];0;87.164;0.295;27.816;62;355;1
6;[-1.556, 0.015];[-0.018, -0.003];1;98.462;1.000;6.631;12;130;1
7;[0.567, 1.497];[-0.003, 0.023];0;96.214;0.797;11.925;11;128;1
8;[-1.569, -0.995];[-0.121, -0.037];0;95.016;1.007;4.468;7;32;1
9;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
10;[-1.751, -0.734];[-0.030, -0.019];1;96.514;1.009;9.682;10;31;1
11;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
12;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
13;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
14;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
17;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
18;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
19;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
20;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
21;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
.
Episode: 30
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;80.055;1.000;0.383;82;1943;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.181;1.000;0.966;36;1480;1
3;[-0.989, -0.265];[-0.184, -0.014];0;80.586;1.000;8.599;24;558;1
4;[0.546, 1.515];[0.017, 0.193];1;70.140;1.000;25.125;45;456;1
5;[0.532, 1.292];[-0.003, 0.085];0;90.082;0.146;25.402;62;361;1
6;[0.567, 1.562];[-0.003, 0.023];0;99.090;1.000;0.000;12;135;1
7;[-1.569, -0.995];[-0.121, -0.037];0;95.399;1.003;6.691;7;36;1
8;[-1.751, -0.734];[-0.030, -0.019];1;81.211;1.007;23.049;10;32;1
9;[-2.545, 1.708];[0.086, 0.208];0;0.000;1.011;0.038;30;30;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
13;[0.039, 0.492];[-0.024, -0.002];1;25.461;1.618;2.337;6;12;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
